Date      ,Time    ,Cl.,Event,User  ,Group,Terminal Name       ,Peer         ,Source TA      ,ABAP Source        ,Audit Log Msg. Text                                                                                                             ,Note,First Variable Value for Event                   ,Variable 2,Variable Data for Message       
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:52,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:53,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:53,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:53,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
2/7/2025,12:23:53,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.26,S000           ,SAPMHTTP           ,Application R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001 started                                                           ,    ,R3TR IWSV /UI2/PAGE_BUILDER_PERS             0001,          ,                                
2/7/2025,12:23:53,200, CUI ,FF_STP,     ,172.30.254.14       ,10.155.152.27,S000           ,SAPMHTTP           ,Application R3TR IWSG ZPAGE_BUILDER_PERS_0001 started                                                                           ,    ,R3TR IWSG ZPAGE_BUILDER_PERS_0001                ,          ,                                
