CL.,OBJECT,OBJECT VALUE,DOC.NUMBER,TABLE NAME,TABLE KEY,FIELD NAME,CHANGE INDICATOR,TEXT FLAG,UNIT,UNIT.1,CUKY,CUKY.1,NEW VALUE,OLD VALUE,DATA AGING FILTER
200,KRED           ,1005336,3217959,LFA1            ,2000001005336,SPERQ              ,U               ,1,    ,    ,    ,    ,99,                                 ,                 
200,KRED           ,1005336,3217959,LFA1            ,2000001005336,SPERM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005330,3217960,LFA1            ,2000001005330,LOEVM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005330,3217960,LFA1            ,2000001005330,SPERM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005330,3217960,LFA1            ,2000001005330,SPERQ              ,U               ,1,    ,    ,    ,    ,99,                                 ,                 
200,KRED           ,1005330,3217960,LFA1            ,2000001005330,SPERR              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005354,3217962,LFA1            ,2000001005354,SPERM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005354,3217962,LFA1            ,2000001005354,SPERQ              ,U               ,1,    ,    ,    ,    ,99,                                 ,                 
200,KRED           ,1005354,3217962,LFA1            ,2000001005354,SPERR              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005354,3217962,LFA1            ,2000001005354,LOEVM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005321,3217963,LFA1            ,2000001005321,SPERM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005321,3217963,LFA1            ,2000001005321,SPERQ              ,U               ,1,    ,    ,    ,    ,99,                                 ,                 
200,KRED           ,1005321,3217963,LFA1            ,2000001005321,LOEVM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005321,3217963,LFA1            ,2000001005321,SPERR              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005315,3217964,LFA1            ,2000001005315,SPERR              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005315,3217964,LFA1            ,2000001005315,LOEVM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005315,3217964,LFA1            ,2000001005315,SPERM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
200,KRED           ,1005315,3217964,LFA1            ,2000001005315,SPERQ              ,U               ,1,    ,    ,    ,    ,99,                                 ,                 
200,KRED           ,1005307,3217965,LFA1            ,2000001005307,LOEVM              ,U               ,1,    ,    ,    ,    ,X                               ,                                 ,                 
